n_known,mean_medape,std_medape,mean_mae,std_mae,mean_within3,mean_within5
1,13.73,9.72,8.03,4.01,24.9,38.6
2,12.61,7.95,7.25,3.42,27.7,41.9
3,11.49,8.58,6.51,3.28,31.1,45.1
4,10.69,8.71,6.09,3.01,31.8,46.7
5,10.02,6.16,5.74,2.86,34.1,48.8
6,10.51,10.89,5.68,2.74,34.4,48.9
7,10.86,13.94,5.74,2.92,34.7,48.5
8,11.41,17.59,5.74,3.32,35.5,49.2
9,13.35,34.44,6.16,4.90,34.9,48.9
10,10.81,9.24,5.95,4.52,35.7,50.2
11,13.60,24.00,8.42,18.80,34.7,49.2
12,11.92,23.14,11.16,36.75,36.7,51.0
13,10.58,10.25,6.02,7.70,38.4,52.3
14,11.12,14.03,6.21,14.36,38.8,51.6
15,9.31,7.43,6.49,17.09,41.7,55.1
16,9.60,7.21,8.29,35.49,40.3,53.1
17,9.93,8.20,6.01,15.13,41.1,55.0
18,9.34,7.82,4.70,3.00,42.5,55.9
19,9.98,9.27,4.80,3.60,42.8,56.0
20,11.79,19.89,5.96,11.84,43.2,56.7
